,Round,Agent,Opponent,State,Player 1 Action,Player 2 Action,Player 1 Reward,Player 2 Reward,Player 1 Score,Player 2 Score,Collision Point
299,175,4,13,4,1,1,1,1,177,12,"[470.41535531458453, 463.6921277358434]"
300,175,0,10,1,0,0,3,3,375,384,"[20.0, 20.0]"
301,176,4,13,4,1,1,1,1,178,13,"[470.41535531458453, 463.6921277358435]"
302,176,0,10,1,0,0,3,3,378,387,"[20.0, 20.0]"
303,177,4,13,4,1,1,1,1,179,14,"[470.41535531458453, 463.6921277358435]"
304,177,0,10,1,0,0,3,3,381,390,"[20.0, 20.0]"
305,178,4,13,4,1,1,1,1,180,15,"[470.41535531458453, 463.6921277358435]"
306,178,0,10,1,0,0,3,3,384,393,"[20.0, 20.0]"
307,179,4,13,4,1,1,1,1,181,16,"[470.41535531458453, 463.6921277358435]"
308,179,0,10,1,0,0,3,3,387,396,"[20.0, 20.0]"
309,180,4,11,3,1,0,5,0,182,0,"[476.8084651608724, 439.71206793189265]"
310,180,4,13,4,1,1,1,1,187,17,"[467.251539867167, 458.30931112325015]"
311,180,0,10,1,0,0,3,3,390,399,"[20.0, 20.0]"
312,181,4,13,4,1,1,1,1,188,18,"[461.55667206181556, 448.6202412205822]"
313,181,0,10,1,0,0,3,3,393,402,"[20.0, 20.0]"
314,182,4,13,4,1,1,1,1,189,19,"[456.43129103699926, 439.90007830818104]"
315,182,0,10,1,0,0,3,3,396,405,"[20.0, 20.0]"
316,183,4,13,4,1,1,1,1,190,20,"[451.81844811466453, 432.05193168702]"
317,183,0,10,1,0,0,3,3,399,408,"[20.0, 20.0]"
318,184,3,5,1,0,0,3,3,12,18,"[272.5065855518428, 281.7887910987911]"
319,184,4,13,4,1,1,1,1,191,21,"[447.6668894845633, 424.988599727975]"
320,184,0,10,1,0,0,3,3,402,411,"[20.0, 20.0]"
321,185,4,13,4,1,1,1,1,192,22,"[443.93048671747215, 418.6316009648345]"
322,185,0,10,1,0,0,3,3,405,414,"[20.0, 20.0]"
323,186,1,11,3,1,0,5,0,45,0,"[590.8033996776081, 43.10381817650609]"
324,186,4,13,4,1,1,1,1,193,23,"[440.56772422709014, 412.91030207800804]"
325,186,0,10,1,0,0,3,3,408,417,"[20.0, 20.0]"
326,187,4,13,4,1,1,1,1,194,24,"[437.5412379857463, 407.76113307986424]"
327,187,5,6,1,0,0,3,3,21,39,"[241.60717568438332, 295.82612209882814]"
328,187,0,10,1,0,0,3,3,411,420,"[20.0, 20.0]"
329,188,4,13,4,1,1,1,1,195,25,"[434.8174003685368, 403.1268809815348]"
330,188,0,10,1,0,0,3,3,414,423,"[20.0, 20.0]"
331,189,4,13,4,1,1,1,1,196,26,"[432.36594651304836, 398.95605409303835]"
332,189,0,10,1,0,0,3,3,417,426,"[20.0, 20.0]"
333,189,11,12,1,0,0,3,3,9,0,"[561.5500000000001, 420.48963121297254]"
334,190,4,13,4,1,1,1,1,197,27,"[430.1596380431087, 395.2023098933915]"
335,190,0,10,1,0,0,3,3,420,429,"[20.0, 20.0]"
336,191,4,13,4,1,1,1,1,198,28,"[428.173960420163, 391.82394011370934]"
337,191,0,10,1,0,0,3,3,423,432,"[20.0, 20.0]"
338,192,4,13,4,1,1,1,1,199,29,"[426.3868505595119, 388.78340731199546]"
339,192,0,10,1,0,0,3,3,426,435,"[20.0, 20.0]"
340,193,4,13,4,1,1,1,1,200,30,"[424.77845168492587, 386.04692779045297]"
341,193,0,10,1,0,0,3,3,429,438,"[20.0, 20.0]"
342,194,2,6,1,0,0,3,3,33,42,"[187.8716674299953, 443.70149542051917]"
343,194,4,13,4,1,1,1,1,201,31,"[423.33089269779845, 383.58409622106467]"
344,194,0,10,1,0,0,3,3,432,441,"[20.0, 20.0]"
345,195,4,13,4,1,1,1,1,202,32,"[422.02808960938376, 381.36754780861526]"
346,195,0,10,1,0,0,3,3,435,444,"[20.0, 20.0]"
347,196,4,13,4,1,1,1,1,203,33,"[420.8555668298105, 379.37265423741076]"
348,196,0,10,1,0,0,3,3,438,447,"[20.0, 20.0]"
349,197,4,13,4,1,1,1,1,204,34,"[419.80029632819463, 377.5772500233267]"
350,197,0,10,1,0,0,3,3,441,450,"[20.0, 20.0]"
